Acquired on 1/29/2002 at 02:09:23
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-9.964469	1967.191444	-135091.411381	25.363109	0.000000	0.259337	-0.081468	0.231435	0.216419	0.207797	0.240965	0.545612	-0.170989	-3.074309	2.512405	0.000000	0.000000	1549.911461	-6.966782	-32.329891	0.000000	0.833034	0.609448
   1548.692666	193577.760529	-12.639352	1621.863641	-6162.423190	19.435555	0.000000	0.154700	0.041098	0.130604	0.190771	0.125839	0.199074	-0.164988	-0.682113	2.194193	2.134052	0.003056	0.000000	1549.885442	-9.678230	-29.113785	0.000000	0.849538	0.611057
   1548.695222	193577.441011	-12.365883	1606.110878	32715.385543	21.871576	286.702974	0.081687	0.138488	0.198250	0.147211	0.187047	0.141545	-0.383195	-0.645197	2.104209	2.177473	0.006113	0.000000	1549.426176	-9.383716	-31.255292	232296.223537	0.865507	0.613131
   1548.697778	193577.121494	-13.785347	1689.740227	-28384.046896	16.142726	334.775479	-0.159218	0.011184	0.127305	0.160171	0.099786	0.178429	0.079123	-0.531974	2.346922	2.310939	0.009169	0.000000	1549.551080	-10.879348	-27.022074	102172.130250	0.883487	0.614975
   1548.700335	193576.801976	-13.498252	1617.182708	17552.208919	16.612194	176.461620	-0.254458	-0.027255	0.168720	0.129750	0.135298	0.160516	0.175617	-0.398934	2.575825	2.404134	0.012225	0.000000	1549.777919	-10.581680	-27.193874	109593.921721	0.901439	0.617123
   1548.702891	193576.482459	-15.442610	1662.051184	-94431.552315	15.022302	323.722280	-0.439776	-0.212572	0.136310	0.099501	0.095353	0.139801	0.511969	-0.076991	2.894112	2.470221	0.015282	0.000000	1549.455347	-12.566838	-27.589140	201133.801793	0.919720	0.619441
   1548.705447	193576.162941	-18.848160	1420.656277	10005.853521	20.029631	231.323735	-0.140472	0.029931	0.086212	0.076704	0.068394	0.089892	0.659040	0.244976	-3.102887	2.673173	0.018338	0.000000	1549.484224	-15.880781	-35.910412	95955.490917	0.940175	0.621222
   1548.708004	193575.843423	-22.241595	1446.234275	59572.128695	29.091864	945.987895	0.107482	0.164283	0.067031	0.045036	0.063683	0.036870	1.764577	1.401906	-1.702970	-2.115881	0.021395	0.000000	1549.764847	-19.236645	-48.328509	594659.569110	0.960526	0.623335
   1548.710560	193575.523906	-23.154929	1598.519216	-68017.296055	27.909484	1413.338925	0.049711	-0.063891	0.043779	0.053600	0.040176	0.057173	-2.887370	2.817978	-0.165964	-0.670750	0.024451	0.000000	1549.884599	-20.151652	-48.061135	426656.447356	0.983028	0.624808
   1548.713116	193575.204388	-22.355344	1424.645219	66258.707201	38.406439	1418.528624	0.341007	0.000201	0.062433	0.046995	0.060422	0.043248	1.944161	1.532081	-1.590648	-2.005756	0.027507	0.000000	1550.488333	-19.345671	-57.752109	241066.449971	1.004569	0.627036
