Acquired on 2/2/2002 at 00:46:20
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-15.746602	1348.299546	81555.759033	18.694582	0.000000	-0.004107	-0.034723	0.113580	0.129858	0.080998	0.130123	-0.215923	-0.346577	2.498306	2.720332	0.000000	0.000000	1549.875634	-12.794567	-31.489149	0.000000	0.459637	0.394385
   1548.692666	193577.760529	-9.322230	1556.776686	30446.709262	33.665560	0.000000	0.062129	0.051924	0.222972	0.267882	0.214413	0.257545	-0.614935	-0.623159	2.149218	2.225390	0.003056	0.000000	1549.995109	-6.313797	-39.979357	0.000000	0.455324	0.437701
   1548.695222	193577.441011	-9.958703	1634.606429	-26574.474381	30.187553	415.685391	-0.027885	-0.022782	0.203960	0.252661	0.206078	0.232391	-1.036824	-1.022779	1.707767	1.805234	0.006113	0.000000	1549.765488	-6.952560	-37.140113	54880.545979	0.450400	0.433624
   1548.697778	193577.121494	-9.751172	1566.674905	18823.502653	31.370855	381.246366	0.018480	0.033788	0.215412	0.255142	0.205438	0.241017	-0.681412	-0.649077	2.078158	2.219693	0.009169	0.000000	1550.023728	-6.744039	-38.114893	53209.858646	0.445430	0.414304
   1548.700335	193576.801976	-9.394509	1614.793014	-9396.543445	31.031223	274.284108	-0.031757	-0.011346	0.221658	0.267452	0.219410	0.247220	-0.962073	-0.905704	1.785940	1.933196	0.012225	0.000000	1550.132187	-6.387633	-37.418856	56550.255990	0.440982	0.400690
   1548.702891	193576.482459	-9.629232	1590.772756	-2351.198041	30.242827	8.644868	-0.033770	-0.013360	0.214282	0.262279	0.211867	0.241309	-0.958422	-0.877837	1.783650	1.966255	0.015282	0.000000	1549.793571	-6.623037	-36.865864	132322.658874	0.437784	0.407898
   1548.705447	193576.162941	-9.146381	1584.762400	937.911009	32.164528	42.834417	-0.023718	-0.008410	0.228664	0.275000	0.223805	0.255810	-0.934065	-0.826153	1.820470	2.014435	0.018338	0.000000	1549.930415	-6.138719	-38.303247	22579.105150	0.435817	0.413878
   1548.708004	193575.843423	-9.255504	1587.159985	-7689.142160	31.391751	68.542955	-0.018479	-0.013376	0.225514	0.271766	0.222889	0.251011	-1.013145	-0.888281	1.747390	1.957857	0.021395	0.000000	1550.039958	-6.248355	-37.640107	78305.521596	0.435342	0.416538
   1548.710560	193575.523906	-9.043159	1567.504140	7411.550158	30.783401	90.948811	0.026221	0.016016	0.233759	0.279668	0.226250	0.255438	-0.946112	-0.803193	1.805844	2.050540	0.024451	0.000000	1550.025506	-6.036483	-36.819884	69174.603484	0.436127	0.417240
   1548.713116	193575.204388	-8.933729	1586.450436	-9504.525795	32.365456	67.689094	0.032885	0.002269	0.237055	0.281149	0.231302	0.258682	-1.016663	-0.849355	1.735046	1.980139	0.027507	0.000000	1549.956725	-5.925947	-38.291403	39808.327316	0.437879	0.417134
