Acquired on 2/2/2002 at 21:13:27
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-10.068504	861.469236	337175.107583	17.223748	0.000000	0.219757	0.057046	0.300439	0.150512	0.254582	0.138351	0.441091	1.948991	2.984962	-2.464483	0.000000	0.000000	1550.014198	-7.139735	-24.363484	0.000000	0.389112	0.314650
   1548.692666	193577.760529	-6.683562	1723.374058	-19607.961587	28.006962	0.000000	0.011737	-0.042500	0.373257	0.339886	0.317259	0.271510	1.123469	-2.801540	-2.375645	0.133466	0.003056	0.000000	1549.878862	-3.680128	-31.687090	0.000000	0.403408	0.315868
   1548.695222	193577.441011	-6.352124	1673.250986	-33280.285439	41.600693	326.637279	-0.095656	-0.068537	0.335098	0.388610	0.292820	0.337936	1.362882	-2.696895	-2.175732	0.081268	0.006113	0.000000	1550.148085	-3.342125	-44.942818	166547.869379	0.417585	0.316448
   1548.697778	193577.121494	-7.126730	1588.177600	36386.462694	29.498153	358.019413	-0.032256	0.049099	0.354657	0.326064	0.303525	0.251692	1.001034	-3.073527	-2.528761	-0.228540	0.009169	0.000000	1550.147041	-4.121302	-33.619455	159100.384223	0.431666	0.316653
   1548.700335	193576.801976	-6.470802	1681.191520	-40979.907164	35.317520	197.320032	-0.155591	-0.047117	0.342685	0.375264	0.300844	0.319375	1.198140	-2.872924	-2.333380	-0.059065	0.012225	0.000000	1550.044252	-3.461778	-38.779298	115133.016700	0.444261	0.316645
   1548.702891	193576.482459	-6.692261	1576.435133	14325.194099	33.698961	75.499190	-0.068617	0.039857	0.346863	0.358298	0.302926	0.296479	1.096389	-3.004803	-2.439532	-0.193518	0.015282	0.000000	1549.994720	-3.683814	-37.382775	66212.088046	0.456820	0.316711
   1548.705447	193576.162941	-6.641319	1613.054555	-1398.675572	33.575134	88.982579	-0.055161	0.026195	0.355705	0.358585	0.306269	0.290687	1.057169	-3.062917	-2.465456	-0.242173	0.018338	0.000000	1549.879387	-3.632926	-37.208060	36589.846704	0.469026	0.316954
   1548.708004	193575.843423	-6.408151	1609.479116	-17979.465947	34.520970	115.537466	-0.034526	-0.007407	0.346783	0.382323	0.301714	0.315996	1.077177	-3.025680	-2.451184	-0.214247	0.021395	0.000000	1549.875110	-3.399384	-37.920355	60903.707322	0.480470	0.317558
   1548.710560	193575.523906	-6.580039	1563.517993	11565.031290	32.106657	36.385854	0.078380	0.024143	0.355760	0.368450	0.304250	0.290998	1.015530	-3.135701	-2.512802	-0.318381	0.024451	0.000000	1550.541812	-3.572412	-35.679069	41889.904839	0.491043	0.318657
   1548.713116	193575.204388	-6.450864	1593.081918	-11634.604963	34.222298	234.008992	0.131933	-0.030778	0.349208	0.377839	0.299694	0.313550	1.243631	-2.896040	-2.290802	-0.075705	0.027507	0.000000	1549.957525	-3.442206	-37.664504	130501.092227	0.501357	0.320069
