Acquired on 2/3/2002 at 00:48:21
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690094	193578.082027	-10.102477	862.833950	296854.301250	33.868604	0.000000	-0.001427	-0.033468	0.267429	0.184453	0.253322	0.160072	1.743768	1.996215	-1.864790	-1.600235	0.000000	0.000000	1550.080518	-7.093959	-40.962563	0.000000	0.752883	0.252507
   1548.692650	193577.762510	-7.416822	1621.668582	16450.746347	31.614855	0.000000	0.028634	0.017954	0.330505	0.298033	0.312476	0.258524	1.657732	2.564222	-1.964637	-0.995280	0.003056	0.000000	1550.113510	-4.409515	-36.024370	0.000000	0.779089	0.258898
   1548.695206	193577.442992	-7.496268	1663.720987	-32063.356854	34.178955	509.145537	-0.025729	-0.020389	0.266625	0.339548	0.262741	0.317092	1.886392	2.564975	-1.759365	-1.021415	0.006113	0.000000	1549.591755	-4.487627	-38.666582	541009.819240	0.819923	0.265038
   1548.697763	193577.123475	-7.865619	1581.758401	45829.939790	35.072298	346.632054	0.084455	0.100476	0.298182	0.293923	0.285473	0.264843	1.731594	2.415231	-1.890471	-1.170259	0.009169	0.000000	1550.647518	-4.856669	-39.928967	94045.207277	0.830203	0.268383
   1548.700319	193576.803957	-7.329602	1698.912472	-27715.396435	34.758864	209.046625	-0.040558	-0.019197	0.284088	0.342189	0.272561	0.312729	1.919447	2.548164	-1.718628	-1.033751	0.012225	0.000000	1549.895108	-4.320754	-39.079618	91138.631363	0.865333	0.267996
   1548.702875	193576.484439	-7.532854	1628.063977	10065.953058	36.528611	64.124671	-0.023336	-0.001975	0.280359	0.331118	0.268936	0.303987	1.902947	2.461086	-1.724199	-1.124551	0.015282	0.000000	1549.793808	-4.523520	-41.052130	82290.596333	0.897305	0.264397
   1548.705431	193576.164922	-7.360299	1653.795522	-7622.802313	34.851323	15.893862	-0.057773	-0.041752	0.291199	0.336691	0.277368	0.303632	1.918666	2.423074	-1.721665	-1.168763	0.018338	0.000000	1550.252520	-4.351420	-39.202744	26411.058977	0.926924	0.258452
   1548.707988	193575.845404	-7.310195	1634.309327	-15817.096837	33.501695	186.824551	-0.053089	-0.047749	0.272672	0.350712	0.263882	0.323360	2.053506	2.527450	-1.583684	-1.037605	0.021395	0.000000	1550.432940	-4.301833	-37.803528	126612.852544	0.955499	0.251443
   1548.710544	193575.525887	-7.167171	1593.875895	12192.089809	38.080396	11.160027	0.032768	0.022087	0.290363	0.345721	0.277578	0.321092	2.084686	2.478786	-1.535584	-1.099896	0.024451	0.000000	1550.117781	-4.157547	-42.237943	88279.175261	0.981445	0.242109
   1548.713100	193575.206369	-7.246992	1625.042781	-18124.240443	36.898111	103.298830	0.056055	0.024013	0.276321	0.353727	0.264321	0.325037	2.008433	2.414599	-1.617773	-1.168702	0.027507	0.000000	1550.331674	-4.237579	-41.135690	122406.722326	1.004719	0.280119
