Acquired on 2/2/2002 at 21:00:59
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-12.085052	2634.661752	-288470.956610	13.654783	0.000000	0.286315	0.156960	0.168518	0.169253	0.102012	0.237261	0.266953	-0.393622	2.918654	2.622271	0.000000	0.000000	1550.054845	-9.258030	-22.912812	0.000000	1.010519	0.388880
   1548.692666	193577.760529	-15.285385	1897.257053	-177253.091444	24.416807	0.000000	-0.247306	-0.290425	0.047505	0.172284	0.061837	0.153170	-1.640085	-0.913206	1.169489	2.020316	0.003056	0.000000	1550.083636	-12.290764	-36.707571	0.000000	1.026776	0.411800
   1548.695222	193577.441011	-17.522452	1444.151841	117438.230888	25.975169	1183.506417	0.128721	0.150280	0.065406	0.119471	0.051107	0.119244	-2.571042	-3.133443	0.334808	-0.304152	0.006113	0.000000	1550.111028	-14.523109	-40.498278	292679.990229	1.038358	0.439353
   1548.697778	193577.121494	-19.043573	1744.355633	-34991.834762	24.941088	1325.922370	-0.097938	-0.033260	0.039970	0.110261	0.046574	0.094884	1.638638	2.112960	-1.854074	-1.284648	0.009169	0.000000	1550.129795	-16.047172	-40.988260	118328.513388	1.044798	0.471632
   1548.700335	193576.801976	-16.532187	1654.906771	-35301.877072	32.974116	764.081533	-0.145020	-0.058783	0.062719	0.141491	0.054361	0.132420	3.025907	2.654926	-0.471684	-0.744237	0.012225	0.000000	1550.211851	-13.524076	-46.498192	298134.906196	1.043689	0.555650
   1548.702891	193576.482459	-18.495377	1564.665056	42652.048652	34.759866	613.468570	-0.010934	0.075303	0.047692	0.115389	0.045095	0.103238	2.404707	2.053327	-1.097140	-1.362654	0.015282	0.000000	1549.882132	-15.486528	-50.246394	130834.354464	1.034448	0.674731
   1548.705447	193576.162941	-17.216426	1673.696276	-41409.774715	31.399113	34.208945	-0.095737	-0.031060	0.059291	0.131067	0.058065	0.117898	2.329254	2.048774	-1.184971	-1.354145	0.018338	0.000000	1550.068882	-14.209272	-45.608385	289032.451617	1.023314	0.664546
   1548.708004	193575.843423	-16.889989	1567.840325	15470.423612	36.300355	502.112758	0.031974	0.053533	0.059266	0.136637	0.052409	0.126492	-3.130388	2.434514	-0.334683	-0.980759	0.021395	0.000000	1550.195280	-13.880707	-50.181062	308130.163455	1.012642	0.644273
   1548.710560	193575.523906	-17.769791	1607.387553	11491.511540	31.147729	607.452766	0.080291	0.037173	0.057914	0.121306	0.058305	0.109338	2.293815	1.836951	-1.234099	-1.608005	0.024451	0.000000	1549.615597	-14.762824	-45.910552	187900.952783	1.000080	0.683745
   1548.713116	193575.204388	-16.533611	1636.763538	-25601.815144	31.524051	532.962509	0.069633	-0.059721	0.066626	0.140342	0.058938	0.129694	3.071081	2.292675	-0.469810	-1.115806	0.027507	0.000000	1550.279832	-13.526367	-45.050418	91064.558759	0.988542	0.718303
   1548.715672	193574.884871	-17.237763	1571.316881	24382.280846	34.555367	373.858749	0.190365	-0.046785	0.062505	0.129661	0.058511	0.116777	2.703394	1.913757	-0.804670	-1.507496	0.030564	0.000000	1550.295513	-14.228985	-48.784351	147162.590193	0.977778	0.748761
   1548.718229	193574.565353	-16.793448	1633.646213	-19072.651102	33.117381	22.483919	0.185966	-0.180539	0.069805	0.133500	0.066312	0.121478	2.694379	1.928166	-0.821116	-1.489732	0.033620	0.000000	1549.954630	-13.785267	-46.902647	176182.778423	0.965805	0.778207
   1548.720785	193574.245836	-16.590236	1584.889924	-11575.392158	31.671231	363.034771	0.279449	-0.237970	0.068113	0.137349	0.061112	0.128899	-3.096056	2.204026	-0.352202	-1.209867	0.036676	0.000000	1550.105778	-13.582890	-45.254121	335526.570989	0.953446	0.805614
   1548.723342	193573.926318	-17.051078	1555.299123	16710.280476	32.614510	376.739661	0.432338	-0.257554	0.071012	0.128436	0.067219	0.115679	2.732066	1.860397	-0.809134	-1.583167	0.039733	0.000000	1550.067929	-14.043156	-46.657666	103360.926109	0.939520	0.832782
   1548.725898	193573.606800	-16.318155	1598.016658	-15207.960228	33.628245	230.835792	0.499468	-0.384457	0.074252	0.142113	0.066058	0.128903	3.116131	2.109250	-0.399020	-1.305174	0.042789	0.000000	1549.941829	-13.309738	-46.937982	103282.554192	0.924344	0.859299
   1548.728454	193573.287283	-16.788308	1559.139470	15938.373083	35.056894	94.644813	0.644647	-0.454869	0.071390	0.131521	0.066914	0.122584	2.987891	1.983275	-0.521017	-1.441476	0.045845	0.000000	1550.161555	-13.779364	-48.836258	72212.403860	0.909369	0.883241
   1548.731011	193572.967765	-16.453133	1599.883999	-432.183317	32.677487	17.597271	0.708028	-0.628638	0.077076	0.136902	0.071111	0.124581	2.961397	1.965645	-0.575441	-1.463309	0.048902	0.000000	1550.018722	-13.445177	-46.122664	38780.276308	0.893974	0.905683
   1548.733567	193572.648248	-16.376695	1598.779170	-5947.423027	33.909133	112.355297	0.773627	-0.821749	0.075174	0.140021	0.066829	0.127831	-3.082051	2.108971	-0.310690	-1.308593	0.051958	0.000000	1549.958781	-13.368160	-47.277293	71848.028298	0.878549	0.926220
   1548.736123	193572.328730	-16.744976	1583.575200	459.648258	35.594268	80.139559	0.869749	-1.005895	0.077754	0.129864	0.071967	0.119287	2.983305	1.967191	-0.534955	-1.475974	0.055015	0.000000	1550.077717	-13.735874	-49.330142	28771.304116	0.863397	0.944598
   1548.738680	193572.009213	-16.271269	1584.750247	-20192.587493	32.327649	125.222447	0.963513	-1.213960	0.077498	0.140772	0.069001	0.128887	-3.086927	2.101284	-0.343704	-1.326202	0.058071	0.000000	1550.014922	-13.263510	-45.591159	41739.615330	0.847688	0.962138
   1548.741236	193571.689695	-16.486854	1533.129651	10766.535816	36.561321	211.329832	1.160909	-1.339950	0.076886	0.135316	0.071777	0.124645	2.952125	1.884695	-0.542606	-1.542188	0.061127	0.000000	1549.998623	-13.477512	-50.038833	86083.448236	0.831191	0.979227
   1548.743793	193571.370177	-16.191856	1560.653456	-1312.787890	34.958231	24.631824	1.303049	-1.542757	0.082168	0.139427	0.076093	0.126828	2.945244	1.878640	-0.568445	-1.555356	0.064184	0.000000	1550.077700	-13.182943	-48.141173	94465.406464	0.814261	0.995410
   1548.746349	193571.050660	-16.184741	1557.297405	4707.424895	34.418398	149.185180	1.451926	-1.760384	0.078643	0.141344	0.071471	0.129903	3.136809	2.025379	-0.374605	-1.396623	0.067240	0.000000	1549.974830	-13.176011	-47.594410	90136.382638	0.797748	1.009587
   1548.748906	193570.731142	-16.313735	1569.331647	8418.963038	38.482898	114.726500	1.576644	-2.023731	0.081156	0.136116	0.075861	0.125966	2.939264	1.910115	-0.552018	-1.527935	0.070296	0.000000	1549.952150	-13.304051	-51.786950	26620.188180	0.781721	1.021821
   1548.751462	193570.411625	-15.965899	1590.854279	-9278.508026	35.291118	122.367393	1.658153	-2.351846	0.081853	0.144503	0.074140	0.132499	-3.141234	2.056357	-0.373348	-1.379100	0.073353	0.000000	1550.046541	-12.956883	-48.248001	34705.459013	0.766093	1.032378
   1548.754018	193570.092107	-16.192396	1567.134188	4191.084973	43.046848	142.077449	1.787282	-2.653899	0.081155	0.138892	0.075448	0.128419	2.947323	1.923601	-0.538763	-1.530569	0.076409	0.000000	1550.005856	-13.182311	-56.229159	122332.973500	0.750978	1.041229
