Acquired on 2/2/2002 at 21:41:09
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-23.067312	1116.033296	192467.524647	30.286913	0.000000	0.037259	-0.040648	0.038354	0.050089	0.045939	0.061476	1.286275	0.373127	-2.069322	-3.109757	0.000000	0.000000	1549.906991	-20.061075	-50.347988	0.000000	0.297595	0.336878
   1548.692666	193577.760529	-21.961501	1608.028951	16901.267436	33.358696	0.000000	0.043133	0.017164	0.037998	0.078306	0.033975	0.063257	2.290376	1.663073	-1.331021	-1.921242	0.003056	0.000000	1549.201239	-18.953205	-52.311901	0.000000	0.294520	0.308218
   1548.695222	193577.441011	-20.865633	1651.233006	-34688.910027	28.739570	741.661333	-0.037729	-0.024745	0.040502	0.088767	0.032748	0.076114	3.126374	2.341091	-0.569163	-1.163118	0.006113	0.000000	1550.335447	-17.861134	-46.600704	466443.110193	0.291759	0.275240
   1548.697778	193577.121494	-21.640069	1562.558796	35941.566328	37.031491	515.292265	0.059430	0.098383	0.040131	0.078413	0.036612	0.067896	2.517969	1.807321	-1.118374	-1.783998	0.009169	0.000000	1550.023753	-18.630629	-55.662120	160176.870883	0.288710	0.288321
   1548.700335	193576.801976	-21.227172	1654.435437	-14630.553574	29.521143	280.557545	-0.027861	0.024077	0.038974	0.085914	0.033388	0.071147	2.861364	2.142120	-0.849457	-1.393295	0.012225	0.000000	1550.378585	-18.221718	-47.742861	229869.379572	0.286899	0.296503
   1548.702891	193576.482459	-21.397244	1617.035549	9815.613701	32.025175	102.956189	-0.040068	0.011869	0.039914	0.081504	0.035248	0.070848	2.906244	2.152238	-0.768845	-1.396432	0.015282	0.000000	1550.070291	-18.389668	-50.414842	103831.392879	0.286466	0.300510
   1548.705447	193576.162941	-21.457737	1642.127153	-11295.761983	31.995132	106.759186	-0.102649	-0.063696	0.039665	0.082834	0.033782	0.068713	2.865919	2.134169	-0.830985	-1.435320	0.018338	0.000000	1550.092482	-18.450179	-50.445311	35969.080035	0.286404	0.302944
   1548.708004	193575.843423	-20.983241	1613.251758	-31382.178406	27.974378	72.773424	-0.107261	-0.094276	0.041206	0.087203	0.035079	0.073587	2.941272	2.197210	-0.772683	-1.307801	0.021395	0.000000	1550.159714	-17.979859	-45.954237	25718.265868	0.287454	0.303773
   1548.710560	193575.523906	-20.962793	1533.029122	15405.149669	32.438044	151.445355	0.049182	0.023213	0.043633	0.084504	0.037584	0.074606	3.070148	2.308588	-0.587533	-1.232661	0.024451	0.000000	1550.094288	-17.954969	-50.393014	106552.042863	0.289588	0.303793
   1548.713116	193575.204388	-21.242529	1572.409619	-12004.716298	30.987991	148.986005	0.126565	0.048659	0.040520	0.084266	0.034133	0.071527	2.980583	2.258474	-0.709260	-1.284695	0.027507	0.000000	1550.330712	-18.235687	-49.223678	87432.208419	0.292192	0.303707
