Acquired on 2/2/2002 at 23:35:49
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-24.306781	1425.459710	51953.452561	28.077725	0.000000	0.031671	-0.019520	0.043056	0.044437	0.042869	0.041867	2.784615	1.805207	-0.665006	-1.496540	0.000000	0.000000	1549.934149	-21.303237	-49.380963	0.000000	0.233685	0.136399
   1548.692666	193577.760529	-23.574195	1558.265870	31933.630400	34.371573	0.000000	0.075049	0.057985	0.044925	0.055448	0.038324	0.047125	2.849091	2.256591	-0.772257	-1.285698	0.003056	0.000000	1549.996701	-20.565482	-54.937055	0.000000	0.234653	0.135229
   1548.695222	193577.441011	-23.278018	1639.896573	-26356.639187	26.838341	11.128140	-0.045455	-0.036923	0.042015	0.061011	0.035631	0.051429	2.854549	2.241967	-0.800255	-1.215600	0.006113	0.000000	1550.208896	-20.276703	-47.115044	449307.954092	0.235899	0.139867
   1548.697778	193577.121494	-23.411453	1572.521894	5592.838591	31.371377	227.749486	-0.030697	-0.005102	0.044415	0.056175	0.038338	0.050196	3.039824	2.387605	-0.557340	-1.102692	0.009169	0.000000	1550.305818	-20.404319	-51.775696	117535.347583	0.237497	0.141922
   1548.700335	193576.801976	-23.252079	1586.818745	-4935.800752	31.184642	358.280461	-0.044642	-0.010515	0.043441	0.059898	0.037897	0.050473	2.710983	2.138954	-0.924724	-1.385069	0.012225	0.000000	1549.998639	-20.245083	-51.429726	77184.810206	0.239068	0.143485
   1548.702891	193576.482459	-23.341774	1574.201424	-1382.777618	30.175689	310.644749	-0.033256	0.000871	0.043509	0.058546	0.036449	0.051146	3.028496	2.397473	-0.565490	-1.071660	0.015282	0.000000	1550.584948	-20.335643	-50.511332	206547.644711	0.240969	0.144789
   1548.705447	193576.162941	-23.200917	1570.666637	2678.499817	32.505455	141.171733	-0.014774	0.010821	0.044658	0.059594	0.037995	0.050805	2.891905	2.291434	-0.750567	-1.251004	0.018338	0.000000	1549.988228	-20.193055	-52.698511	87498.044675	0.242711	0.145726
   1548.708004	193575.843423	-23.365088	1577.513695	-8353.455337	29.638248	101.449206	-0.010038	-0.001506	0.042644	0.059499	0.036764	0.050052	2.768800	2.172760	-0.846380	-1.304020	0.021395	0.000000	1550.045713	-20.359505	-49.997753	46521.994357	0.244316	0.146134
   1548.710560	193575.523906	-23.217448	1556.159658	9859.743288	36.047400	282.124162	0.037568	0.020505	0.044611	0.058506	0.038360	0.051474	3.047739	2.428032	-0.534681	-1.092294	0.024451	0.000000	1550.749794	-20.208227	-56.255627	216340.865382	0.245640	0.146842
   1548.713116	193575.204388	-23.191200	1581.364320	-8075.109538	33.050218	549.015560	0.034574	-0.016617	0.044315	0.060685	0.038531	0.049607	2.502363	1.925276	-1.104527	-1.610532	0.027507	0.000000	1550.054068	-20.183051	-53.233269	143973.305501	0.246628	0.148372
