Acquired on 2/3/2002 at 21:12:06
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.156035
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.156035
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1549.344770	193496.285530	-31.034198	1874.013963	-85186.318624	18.552129	0.000000	0.006938	0.066084	0.015356	0.028559	0.007869	0.021514	1.243029	-0.215038	-1.662330	2.604234	0.000000	0.000000	1550.247895	-28.084092	-46.636221	0.000000	0.349551	0.148156
   1549.347328	193495.966012	-24.017577	1656.072055	-72698.497450	25.732950	0.000000	-0.138079	-0.118364	0.035305	0.053302	0.033023	0.052459	0.233472	-1.321054	3.006613	1.673137	0.006113	0.000000	1550.309140	-21.018863	-46.751813	0.000000	0.360845	0.145446
   1549.349887	193495.646495	-22.681315	1470.078555	72843.381746	26.716552	207.209691	0.090302	0.080445	0.036900	0.065118	0.037025	0.061758	-0.076375	-1.525744	2.726421	1.481700	0.012225	0.000000	1550.194880	-19.680255	-46.396807	518306.580729	0.369388	0.140058
   1549.352445	193495.326977	-24.096220	1656.443346	-51534.520694	26.319623	167.389332	-0.055460	-0.085033	0.033618	0.053751	0.032049	0.052356	0.150580	-1.377976	2.940714	1.627043	0.018338	0.000000	1550.248318	-21.096043	-47.415666	29996.498948	0.376769	0.133838
   1549.355004	193495.007459	-23.040082	1524.595378	17784.780579	25.882429	116.299198	0.063474	0.024044	0.035529	0.061049	0.036686	0.059971	-0.034227	-1.517279	2.758664	1.501002	0.024451	0.000000	1550.134671	-20.040976	-45.923405	111857.748025	0.385042	0.141822
   1549.357562	193494.687942	-23.718710	1570.096818	21424.106977	26.533233	16.332223	0.091059	0.051629	0.033475	0.056948	0.033734	0.054711	-0.045268	-1.521110	2.762794	1.494884	0.030564	0.000000	1550.243817	-20.718048	-47.251281	50520.857945	0.394289	0.150325
   1549.360121	193494.368424	-23.669214	1624.909468	-22919.252312	26.119638	13.478870	0.008604	-0.020969	0.034211	0.056979	0.034201	0.054823	-0.004619	-1.493139	2.781988	1.512198	0.036676	0.000000	1550.242945	-20.669513	-46.789152	4719.131671	0.404283	0.156199
   1549.362679	193494.048907	-23.271357	1566.271360	25595.206382	26.536693	34.266458	0.043870	0.034012	0.033947	0.060277	0.034811	0.058473	-0.072307	-1.514724	2.723011	1.490663	0.042789	0.000000	1550.181238	-20.270687	-46.807380	24733.171122	0.414501	0.160931
   1549.365238	193493.729389	-23.755323	1631.756019	-17551.978238	26.341604	107.150656	-0.052331	-0.032616	0.033149	0.056823	0.032385	0.055200	0.057467	-1.420996	2.855781	1.598379	0.048902	0.000000	1550.238316	-20.755095	-47.096700	46958.080832	0.425757	0.163594
   1549.367796	193493.409872	-23.128567	1586.849598	2669.528100	25.634559	53.916575	-0.058378	0.000767	0.035132	0.061649	0.034747	0.059068	-0.000704	-1.448328	2.768244	1.559692	0.055015	0.000000	1550.250758	-20.130117	-45.764676	47009.507872	0.436947	0.166091
   1549.370355	193493.090354	-23.438661	1593.679561	1228.424630	26.541002	8.691170	-0.078137	0.030296	0.033644	0.059825	0.033193	0.056991	-0.030471	-1.452815	2.755389	1.548818	0.061127	0.000000	1550.163327	-20.437982	-46.978984	23757.581986	0.447962	0.168484
   1549.372913	193492.770837	-23.323059	1596.822484	-9234.631227	27.573796	77.940323	-0.104205	0.063373	0.034530	0.060615	0.032960	0.057899	0.045380	-1.374883	2.851952	1.626333	0.067240	0.000000	1550.242094	-20.320345	-47.894141	45556.081082	0.460236	0.169475
   1549.375472	193492.451319	-23.148486	1573.195612	14266.475442	27.096856	56.197442	-0.082841	0.153740	0.034506	0.062468	0.033091	0.059151	0.015422	-1.385761	2.791934	1.598649	0.073353	0.000000	1550.232714	-20.146652	-47.243508	39199.850038	0.473871	0.169471
   1549.378030	193492.131801	-23.568316	1609.696615	-218.227849	27.121537	3.453855	-0.134755	0.180686	0.032944	0.059772	0.031302	0.056182	0.021576	-1.388095	2.803241	1.601421	0.079466	0.000000	1550.218881	-20.566434	-47.687971	26276.802544	0.487702	0.169524
   1549.380589	193491.812284	-23.202759	1609.138274	2511.223409	27.729389	38.254416	-0.185548	0.218610	0.034521	0.061977	0.032734	0.058840	0.030595	-1.350919	2.831307	1.643314	0.085578	0.000000	1550.215846	-20.199779	-47.929168	27723.945868	0.501221	0.169820
   1549.383147	193491.492766	-23.580195	1615.563321	-106.532551	27.725559	37.340110	-0.249241	0.253493	0.032628	0.059561	0.031054	0.056514	0.028562	-1.353612	2.811290	1.624203	0.091691	0.000000	1550.222993	-20.577221	-48.302780	22066.171009	0.514518	0.170174
   1549.385706	193491.173249	-23.407825	1615.290753	-10097.402834	29.455805	25.271706	-0.312386	0.298781	0.033422	0.061059	0.031297	0.057450	0.034685	-1.325685	2.846050	1.645987	0.097804	0.000000	1550.282235	-20.402445	-49.858249	14971.209781	0.527353	0.170534
   1549.388264	193490.853731	-23.242895	1589.456047	-10568.442236	30.686067	88.206874	-0.323665	0.405791	0.034541	0.062087	0.031721	0.058518	0.091929	-1.239139	2.929631	1.734916	0.103916	0.000000	1550.176992	-20.236302	-50.922369	43834.586896	0.539671	0.170780
   1549.390823	193490.534214	-23.537334	1562.416073	3345.572722	29.886357	12.267129	-0.280660	0.576945	0.033786	0.060153	0.030532	0.056259	0.124329	-1.221322	2.945903	1.748173	0.110029	0.000000	1550.217505	-20.531489	-50.417847	39002.043082	0.549821	0.170821
   1549.393381	193490.214696	-23.267684	1570.975944	4456.886909	30.627560	23.181246	-0.254839	0.740771	0.035039	0.062188	0.031663	0.057679	0.094371	-1.234535	2.925173	1.732775	0.116142	0.000000	1550.222224	-20.261141	-50.888701	13883.351592	0.558311	0.175657
