Acquired on 3/9/2002 at 01:48:13
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.146018
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.146018
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1546.884087	193804.086926	-20.099962	1742.358548	-27009.648358	27.271566	0.000000	-0.010976	-0.041037	0.033949	0.086540	0.030371	0.099904	1.228130	-0.359727	-2.275294	2.298919	0.000000	0.000000	1549.219474	-17.097794	-44.369360	0.000000	0.483183	0.410524
   1546.886637	193803.767408	-15.774254	1673.475996	6172.964255	45.519435	0.000000	0.027591	0.017571	0.075438	0.144485	0.073915	0.144527	1.265715	-0.102955	-2.380503	2.518287	0.001528	0.000000	1549.622093	-12.764076	-58.283511	0.000000	0.565407	0.430628
   1546.889187	193803.447891	-16.916335	1689.218923	2458.410294	37.390065	1323.206334	0.034553	0.039563	0.070626	0.126208	0.071922	0.120799	2.632999	1.161099	-1.047299	-2.511888	0.003056	0.000000	1550.053178	-13.906827	-51.296892	1218453.515342	0.623619	0.425729
   1546.891738	193803.128373	-16.684072	1695.488634	13353.291053	43.784942	1410.492210	0.028928	0.043959	0.068161	0.130760	0.065740	0.129810	1.174068	-0.217286	-2.483087	2.395348	0.004585	0.000000	1549.666474	-13.673953	-57.458896	215716.895898	0.667260	0.408254
   1546.894288	193802.808856	-16.768445	1729.543793	-15208.537671	40.224533	162.928384	-0.045065	-0.025025	0.072309	0.126525	0.069799	0.126419	1.335398	-0.092283	-2.320033	2.505572	0.006113	0.000000	1549.187766	-13.758557	-53.983090	636949.671164	0.702521	0.416231
   1546.896838	193802.489338	-17.033054	1690.757035	4231.584622	37.583436	383.351296	-0.041191	-0.021151	0.068883	0.123048	0.065337	0.124290	0.947793	-0.476779	-2.730695	2.131939	0.007641	0.000000	1549.176691	-14.023512	-51.606947	194363.305434	0.702218	0.420588
   1546.899389	193802.169820	-16.953123	1701.548999	-14821.481173	34.978255	109.529726	-0.058982	-0.043952	0.071946	0.124313	0.066004	0.123902	1.052450	-0.361071	-2.607959	2.247858	0.009169	0.000000	1549.481183	-13.944203	-48.922458	167939.478239	0.697203	0.422449
   1546.901939	193801.850303	-17.115127	1663.749112	5035.959452	35.685405	83.773020	-0.000887	0.004123	0.069906	0.122394	0.064464	0.121813	1.099342	-0.355550	-2.575934	2.236721	0.010697	0.000000	1550.175895	-14.105999	-49.791404	42898.208471	0.673776	0.422707
   1546.904489	193801.530785	-17.119948	1676.592587	5688.958380	34.218821	252.947917	0.031423	0.021403	0.071282	0.119667	0.066783	0.122298	0.854308	-0.578419	-2.854216	2.021095	0.012225	0.000000	1550.016943	-14.111292	-48.330113	137351.900861	0.638568	0.422308
   1546.907040	193801.211268	-17.273334	1691.101488	-854.650464	31.228606	28.944918	0.034606	0.004546	0.070577	0.117493	0.063969	0.120803	0.922635	-0.558124	-2.782454	2.043805	0.013754	0.000000	1549.624619	-14.266306	-45.494912	112796.890379	0.659438	0.422143
