Acquired on 3/9/2002 at 02:06:47
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.151336
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.151336
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.190938	193640.493931	-23.154889	606.323315	411684.281769	2.258865	0.000000	0.011942	0.069215	0.047182	0.054494	0.042528	0.051654	-1.511570	-1.861126	1.675712	-1.453808	0.000000	0.000000	1549.432765	-22.170692	-24.429557	0.000000	0.394161	0.236597
   1548.193493	193640.174413	-10.495887	1658.014138	-45419.928175	32.457093	0.000000	-0.111836	-0.092745	0.134828	0.289126	0.127973	0.245498	-0.151335	-2.014712	2.399497	0.584328	0.003056	0.000000	1548.956623	-7.488053	-39.945146	0.000000	0.396427	0.255637
   1548.196048	193639.854896	-11.388147	1541.983769	13479.321015	31.038157	1482.784961	-0.002673	-0.012219	0.138350	0.245234	0.113844	0.230309	-1.806710	2.626923	0.784140	-1.099453	0.006113	0.000000	1549.389405	-8.381265	-39.419422	348979.876188	0.398374	0.246172
   1548.198602	193639.535378	-11.893154	1576.418340	7798.819825	43.123103	1515.905432	0.037359	0.008723	0.122442	0.241217	0.110194	0.209796	-0.312918	-2.111636	2.256809	0.463175	0.009169	0.000000	1548.866401	-8.883066	-52.006169	75766.089636	0.400313	0.221120
   1548.201157	193639.215861	-11.038750	1596.341443	-8157.056257	34.310588	1555.726957	0.037394	-0.000788	0.140766	0.258572	0.118204	0.238344	-1.842487	2.602280	0.717395	-1.137022	0.012225	0.000000	1549.659869	-8.030060	-42.340647	210232.369710	0.403115	0.229654
   1548.203711	193638.896343	-11.962976	1575.503110	18801.961340	37.974844	220.989392	0.079264	0.041082	0.127359	0.234134	0.108188	0.211017	-2.066444	2.382983	0.470647	-1.346132	0.015282	0.000000	1549.629729	-8.953369	-46.928213	667615.185307	0.410961	0.237642
   1548.206266	193638.576825	-11.360147	1623.535491	-8477.652436	37.468818	37.556511	0.024704	-0.003932	0.136191	0.250236	0.115974	0.227172	-2.024515	2.413005	0.522537	-1.310189	0.018338	0.000000	1549.396810	-8.350625	-45.819443	94279.854750	0.419413	0.244548
   1548.208821	193638.257308	-11.658818	1601.878007	5100.756513	33.214863	8.555896	0.013624	0.004079	0.133745	0.239672	0.111137	0.220960	-2.011828	2.404543	0.518242	-1.326683	0.021395	0.000000	1549.436621	-8.650590	-41.865453	15351.581569	0.429391	0.249606
   1548.211375	193637.937790	-11.754623	1614.908727	1034.507723	42.703480	34.913201	-0.023616	-0.004525	0.127883	0.239791	0.111894	0.217146	-2.066912	2.367415	0.481724	-1.356980	0.024451	0.000000	1549.457867	-8.744556	-51.448036	14293.011764	0.441745	0.252221
   1548.213930	193637.618273	-11.512871	1617.551556	-15299.228870	34.956463	28.734028	-0.066162	-0.008889	0.133308	0.243019	0.114427	0.226379	-2.080790	2.318901	0.458574	-1.395152	0.027507	0.000000	1549.453292	-8.503958	-43.460421	10317.563660	0.458473	0.250818
