Acquired on 3/9/2002 at 02:29:56
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.151336
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.151336
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.190938	193640.493931	-17.428046	1734.623092	-89188.878598	31.070353	0.000000	-0.198064	-0.151690	0.052262	0.122841	0.058690	0.122041	2.939694	0.286550	-0.849418	2.696012	0.000000	0.000000	1549.303165	-14.421139	-45.491492	0.000000	0.660277	0.426270
   1548.193493	193640.174413	-15.673953	1506.780715	84951.726162	38.022705	0.000000	0.134846	0.150304	0.079868	0.148476	0.072814	0.142928	0.978784	-0.884363	-2.747502	1.700584	0.003056	0.000000	1549.220798	-12.664338	-50.687042	0.000000	0.666261	0.435162
   1548.196048	193639.854896	-17.113651	1723.799556	-32966.123075	28.757884	359.579720	0.032071	0.024342	0.072410	0.118672	0.068605	0.121826	0.647609	-1.172410	-3.114109	1.495807	0.006113	0.000000	1549.313416	-14.109128	-42.867012	507211.113009	0.672233	0.443368
   1548.198602	193639.535378	-15.896996	1639.583570	21510.184404	38.143247	185.383590	0.098367	0.075180	0.070700	0.144678	0.069566	0.143784	0.513461	-1.373606	3.072241	1.247360	0.009169	0.000000	1549.541044	-12.887362	-51.030609	167020.724995	0.678565	0.450218
   1548.201157	193639.215861	-16.386387	1694.534143	5552.304960	32.750237	154.808782	0.054345	0.023429	0.074716	0.133074	0.074315	0.130947	0.373945	-1.509188	2.926694	1.150675	0.012225	0.000000	1549.392587	-13.378392	-46.128629	116103.595516	0.685292	0.455495
   1548.203711	193638.896343	-16.210235	1708.718278	-3747.230233	35.562069	82.939921	-0.018154	-0.049069	0.070799	0.139200	0.070713	0.135920	0.284593	-1.599765	2.851460	1.045885	0.015282	0.000000	1549.383627	-13.201141	-48.763211	72080.616325	0.692702	0.458507
   1548.206266	193638.576825	-15.719081	1699.145426	-17526.944187	33.848550	2.830841	-0.071433	-0.094620	0.076400	0.148729	0.074938	0.141499	0.265201	-1.606982	2.818071	1.040205	0.018338	0.000000	1549.580010	-12.710571	-46.559121	39943.672388	0.699928	0.460852
   1548.208821	193638.257308	-16.275202	1654.370116	5428.130268	33.509454	115.330560	-0.034823	-0.042552	0.072074	0.138954	0.072044	0.132136	0.182365	-1.724236	2.739309	0.921585	0.021395	0.000000	1549.504056	-13.266837	-46.776291	95989.792558	0.706859	0.462736
   1548.211375	193637.937790	-15.618794	1668.237166	-9003.454958	37.566856	53.305103	-0.026051	-0.010593	0.075930	0.149982	0.075840	0.144344	0.104969	-1.743085	2.679235	0.884523	0.024451	0.000000	1549.492129	-12.609255	-50.176111	43268.405877	0.713421	0.464324
   1548.213930	193637.618273	-15.865494	1645.236286	-2470.918442	37.405820	259.296080	0.028896	0.075270	0.075558	0.147472	0.074516	0.137144	-0.138635	-2.013459	2.456445	0.610514	0.027507	0.000000	1549.441246	-12.855983	-50.261803	144039.407973	0.719652	0.465500
