Acquired on 3/8/2002 at 23:03:07
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.146018
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.146018
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1546.884087	193804.086926	-18.447763	1710.088214	8656.570278	25.905638	0.000000	0.187512	0.040678	0.051917	0.110782	0.053535	0.103723	-2.525612	1.369246	-0.301543	-2.452565	0.000000	0.000000	1549.558619	-15.448597	-41.354236	0.000000	0.498967	0.400603
   1546.886637	193803.767408	-12.534294	1732.165016	-18015.222548	41.058249	0.000000	0.023939	-0.025005	0.086219	0.216059	0.087099	0.223344	-2.471695	1.887270	0.119385	-1.758318	0.001528	0.000000	1548.788770	-9.524334	-50.582583	0.000000	0.505599	0.399577
   1546.889187	193803.447891	-12.948870	1686.220745	-5530.159791	34.567300	284.005088	-0.047397	-0.022924	0.087427	0.205869	0.082275	0.211258	-2.269506	2.128120	0.351583	-1.470873	0.003056	0.000000	1549.442647	-9.940087	-44.507387	144399.343994	0.507521	0.400029
   1546.891738	193803.128373	-13.253394	1672.117117	-311.142784	38.889514	476.365819	-0.090418	-0.017001	0.078527	0.198105	0.081467	0.206174	-2.676842	1.699100	-0.113809	-1.954651	0.004585	0.000000	1549.042046	-10.243655	-49.133169	239536.678245	0.503518	0.414896
   1546.894288	193802.808856	-12.986742	1671.323604	-21471.848364	37.296177	305.635484	-0.131847	-0.033958	0.083814	0.203996	0.083254	0.212070	-2.421266	1.980818	0.171539	-1.645001	0.006113	0.000000	1548.406000	-9.977251	-47.273428	85979.942621	0.500132	0.431871
   1546.896838	193802.489338	-13.267249	1616.563349	9847.243484	43.780432	241.723787	-0.063339	0.034550	0.077206	0.200038	0.078740	0.205132	-2.655187	1.746351	-0.052584	-1.896003	0.007641	0.000000	1549.653184	-10.257131	-54.037563	98364.394932	0.498323	0.443313
   1546.899389	193802.169820	-13.293807	1641.677132	-4419.079203	47.838252	684.733523	-0.045250	0.028167	0.075899	0.198650	0.080151	0.205022	2.907362	1.063759	-0.751588	-2.587692	0.009169	0.000000	1549.698421	-10.283579	-58.121831	329026.065032	0.497883	0.449556
   1546.901939	193801.850303	-13.245219	1630.406957	-3201.312958	44.941836	298.122881	-0.004534	0.019938	0.076626	0.200005	0.080507	0.205863	-3.078265	1.352449	-0.451426	-2.277241	0.010697	0.000000	1547.874299	-10.235058	-55.176894	264119.510408	0.498569	0.451057
   1546.904489	193801.530785	-13.432874	1622.242478	-1774.103818	41.310349	353.728449	0.052572	0.003627	0.073270	0.196488	0.078951	0.201293	2.840825	0.996296	-0.798914	-2.633070	0.012225	0.000000	1549.340348	-10.422895	-51.733244	295193.564450	0.499927	0.449193
   1546.907040	193801.211268	-13.424680	1617.717872	-16945.695089	44.019741	230.045147	0.118762	-0.028072	0.075242	0.196843	0.079436	0.200451	2.603151	0.777008	-1.024623	-2.860064	0.013754	0.000000	1549.005878	-10.414552	-54.434294	96380.354896	0.501806	0.444139
   1546.909590	193800.891750	-13.430012	1574.500080	191.063921	44.282188	356.857309	0.271715	0.002520	0.073861	0.194915	0.078572	0.202897	2.250305	0.453774	-1.375277	3.081902	0.015282	0.000000	1549.277348	-10.419875	-54.702063	161175.539477	0.504141	0.435544
   1546.912140	193800.572233	-13.588543	1574.987365	-1518.267537	43.597358	220.427661	0.423690	0.007661	0.073578	0.191857	0.076753	0.198544	2.029062	0.230478	-1.577967	2.868009	0.016810	0.000000	1549.635207	-10.578432	-54.175791	102750.806021	0.506478	0.425425
   1546.914691	193800.252715	-13.574379	1571.115196	4125.461950	40.043106	162.968891	0.583439	-0.003896	0.074611	0.193839	0.075385	0.197475	1.839158	0.056303	-1.736941	2.704410	0.018338	0.000000	1549.585228	-10.564509	-50.607615	69267.422148	0.508792	0.419494
   1546.917241	193799.933197	-13.702159	1581.636754	4316.276870	39.358229	86.855177	0.722064	-0.061049	0.073993	0.189594	0.075037	0.195504	1.776464	0.008333	-1.812025	2.641243	0.019866	0.000000	1549.778549	-10.692363	-50.050592	44251.206404	0.529092	0.426482
   1546.919792	193799.613680	-13.794937	1592.645002	-5779.699914	38.313449	200.898151	0.838590	-0.164774	0.074808	0.187030	0.074049	0.193420	1.587460	-0.195623	-2.004844	2.438620	0.021395	0.000000	1549.472012	-10.785277	-49.098726	170875.057811	0.511329	0.431898
