Acquired on 3/8/2002 at 23:43:29
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.146018
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.146018
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1546.884087	193804.086926	-17.632773	2260.570778	27405.113479	22.411313	0.000000	0.408163	0.351275	0.070155	0.108658	0.061839	0.118078	2.798121	-1.117371	-0.952785	1.135936	0.000000	0.000000	1549.224659	-14.647328	-37.058642	0.000000	0.937642	0.836620
   1546.886637	193803.767408	-21.536970	2330.461882	-513926.732804	27.931314	0.000000	-0.816953	-0.835916	0.032634	0.069300	0.032407	0.084387	-2.181387	-3.116186	0.468830	-0.563000	0.001528	0.000000	1548.652010	-18.533658	-46.464971	0.000000	0.962027	0.837121
   1546.889187	193803.447891	-26.584285	1019.793147	416619.872877	32.219165	1559.441403	0.589214	0.598695	0.012751	0.046095	0.014295	0.043586	-2.692221	0.475127	-0.214828	3.002320	0.003056	0.000000	1549.497478	-23.576590	-55.795754	692988.862114	0.984300	0.834001
   1546.891738	193803.128373	-25.795541	2082.303438	-142414.286043	24.886564	1246.366157	-0.137702	-0.109258	0.025887	0.037243	0.026697	0.049960	-2.573906	3.076026	0.079551	-0.556936	0.004585	0.000000	1549.645543	-22.799316	-47.685879	209611.164108	1.004700	0.827957
   1546.894288	193802.808856	-25.242039	1719.101504	-51412.727048	35.380465	1418.090583	-0.135459	-0.097533	0.014700	0.051228	0.017286	0.053315	2.828897	0.804990	-0.796202	-2.818968	0.006113	0.000000	1549.142124	-22.232997	-57.613463	122935.431362	1.024751	0.821225
   1546.896838	193802.489338	-26.869197	1587.982191	94847.110948	37.593525	913.670542	0.130019	0.167944	0.021410	0.038035	0.023172	0.040872	-3.017829	1.750765	-0.326883	-1.780115	0.007641	0.000000	1549.056547	-23.859653	-61.453178	283426.055094	1.046369	0.816297
   1546.899389	193802.169820	-26.916285	1829.874224	-54587.351567	33.875602	105.672755	-0.090124	-0.061680	0.020400	0.036926	0.023144	0.041867	-2.951286	1.772713	-0.256469	-1.719280	0.009169	0.000000	1548.920076	-23.907764	-57.783366	405303.441670	1.068780	0.812008
   1546.901939	193801.850303	-24.062696	1690.657659	-4773.507023	34.068108	1231.735327	-0.030776	-0.021295	0.019621	0.057417	0.022114	0.060641	1.986587	0.550943	-1.527873	-3.071909	0.010697	0.000000	1549.437658	-21.054097	-55.122206	777298.767160	1.093039	0.809638
   1546.904489	193801.530785	-26.653885	1678.483530	20740.436138	30.255003	995.290331	0.053011	0.034049	0.023971	0.038575	0.026722	0.039305	3.064228	1.311601	-0.521920	-2.174450	0.012225	0.000000	1549.842553	-23.647679	-53.902682	155168.934221	1.118711	0.807679
   1546.907040	193801.211268	-23.966681	1731.379141	-24895.248239	36.913605	1266.338667	0.030607	-0.026281	0.022174	0.057191	0.023228	0.061003	1.539865	0.206608	-1.949226	2.917248	0.013754	0.000000	1549.545340	-20.957264	-57.870869	266291.088793	1.148151	0.805716
