Acquired on 3/11/2002 at 02:07:53
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.153368
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.153368
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1548.690110	193578.080046	-30.160761	1491.763675	24478.349180	31.371344	0.000000	-0.134031	-0.060141	0.019434	0.020762	0.022985	0.024296	2.055633	0.149858	-1.569337	2.698968	0.000000	0.000000	1550.230851	-27.153627	-58.524970	0.000000	2.791998	0.927391
   1548.692666	193577.760529	-29.712170	1554.336524	54387.495874	26.574667	0.000000	0.062145	0.086775	0.017850	0.024767	0.017829	0.029784	1.327134	-0.348989	-2.295383	2.221814	0.003056	0.000000	1550.409005	-26.711417	-53.286084	0.000000	2.579055	0.929087
   1548.695222	193577.441011	-29.585667	1693.365173	-36454.585717	24.017525	201.288339	-0.020792	-0.033107	0.017981	0.024225	0.017565	0.031329	1.098073	-0.487983	-2.593577	2.088855	0.006113	0.000000	1550.170377	-26.592553	-50.610078	286501.265393	2.350986	0.924368
   1548.697778	193577.121494	-29.685597	1600.177420	29064.967330	25.108081	25.990500	0.083354	0.046409	0.018392	0.023787	0.018324	0.030171	1.131946	-0.619063	-2.539262	1.996504	0.009169	0.000000	1549.917087	-26.688673	-51.796754	87481.355491	2.171641	0.919042
   1548.700335	193576.801976	-29.845750	1674.475561	-7553.659115	23.362876	161.825637	0.038340	-0.010921	0.017305	0.023175	0.017204	0.030656	0.934007	-0.743121	-2.798796	1.910334	0.012225	0.000000	1550.066694	-26.855425	-50.218301	79902.246100	2.118576	1.108635
   1548.702891	193576.482459	-29.791348	1655.166243	-683.333481	25.447171	160.152782	0.032090	-0.017170	0.017226	0.023953	0.017976	0.030080	0.806304	-0.957012	-2.931612	1.735341	0.015282	0.000000	1550.115227	-26.793420	-52.240591	27895.814761	2.171504	1.445220
   1548.705447	193576.162941	-29.837268	1653.419441	8729.486239	25.362092	56.958026	0.029348	-0.007597	0.016620	0.024044	0.017747	0.030117	0.718194	-1.081599	-3.002874	1.662056	0.018338	0.000000	1550.015269	-26.839585	-52.201677	63948.200062	2.206509	1.730092
   1548.708004	193575.843423	-30.070656	1675.734657	-9461.622149	23.510129	107.673124	-0.018194	-0.030509	0.015875	0.023142	0.017486	0.029570	0.611013	-1.199245	-3.130757	1.603611	0.021395	0.000000	1550.111296	-27.079667	-50.589796	36355.803023	2.228490	1.900906
   1548.710560	193575.523906	-29.741881	1651.547800	7583.431695	24.233578	113.717303	-0.017179	0.007451	0.016195	0.024742	0.018306	0.030215	0.515869	-1.332027	3.051547	1.469252	0.024451	0.000000	1549.894123	-26.747934	-50.981512	93499.308509	2.240374	2.003356
   1548.713116	193575.204388	-30.058579	1670.933481	-1024.636795	24.160461	124.755854	-0.055082	0.018808	0.015736	0.024283	0.018019	0.028482	0.381145	-1.443138	2.963185	1.413652	0.027507	0.000000	1550.249465	-27.064909	-51.225370	86931.840955	2.244729	2.048005
