Acquired on 3/9/2002 at 01:35:32
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  3.146018
Filter Resolution Bandwidth (pm):  0.000000
Convolved Resolution Bandwidth (pm):  3.146018
Channel Width: 0.200 nm

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)	Group Delay (ps)	Chromatic Dispersion (ps/nm)	Polarization Dependent Loss (dB)	Polarization Mode Dispersion (ps)	Linear Phase Deviation (rad)	Quadratic Phase Deviation (rad)	JM Element a Amplitude	JM Element b Amplitude	JM Element c Amplitude	JM Element d Amplitude	JM Element a Phase (rad)	JM Element b Phase (rad)	JM Element c Phase (rad)	JM Element d Phase (rad)	X Axis - Time (ns)	Time Domain Amplitude (GW/J)	Time Domain Wavelength (nm)	Max Loss (dB)	Min Loss (dB)	Second Order PMD (ps^2)	Phase Ripple Linear (rad)	Phase Ripple Quadratic (rad)
   1546.884087	193804.086926	-21.093716	1304.895130	104269.025131	22.336064	0.000000	-0.128654	0.028660	0.065430	0.058833	0.060511	0.064370	1.755789	-0.199557	-1.822672	2.250045	0.000000	0.000000	1549.479868	-18.108704	-40.444768	0.000000	0.565690	0.330527
   1546.886637	193803.767408	-18.204557	1570.811830	-13188.017512	48.232840	0.000000	-0.084460	-0.032022	0.059448	0.104418	0.061388	0.109699	1.134681	-0.296783	-2.525567	2.320514	0.001528	0.000000	1548.594717	-15.194322	-63.427162	0.000000	0.589382	0.331642
   1546.889187	193803.447891	-17.224660	1537.178393	15687.933678	41.288767	723.567881	0.027256	0.001037	0.056041	0.121621	0.058361	0.128667	0.362032	-1.053238	2.954655	1.582248	0.003056	0.000000	1549.327379	-14.214683	-55.503450	708327.135168	0.610358	0.329780
   1546.891738	193803.128373	-18.484987	1577.187505	-891.932326	39.881211	956.362227	0.058651	-0.020006	0.060692	0.099817	0.061595	0.104439	1.394844	-0.043757	-2.233627	2.576469	0.004585	0.000000	1549.725221	-15.475133	-55.356344	265389.364499	0.628534	0.325161
   1546.894288	193802.808856	-17.436184	1574.912792	-2400.061537	43.927670	712.448201	0.094611	-0.010265	0.058893	0.118430	0.059391	0.122763	0.685037	-0.720307	-2.975575	1.918984	0.006113	0.000000	1549.635921	-14.426060	-58.353730	332436.362422	0.644911	0.318961
   1546.896838	193802.489338	-17.994450	1568.791848	20526.468817	39.151480	284.078624	0.142861	0.037985	0.060695	0.108917	0.059489	0.112484	1.022610	-0.404731	-2.624382	2.225709	0.007641	0.000000	1549.886971	-14.984678	-54.136158	265458.394923	0.659458	0.311338
   1546.899389	193802.169820	-17.871730	1621.141248	1391.179391	41.527647	105.854624	0.086014	0.007357	0.061019	0.109370	0.061615	0.114746	1.108038	-0.307381	-2.543405	2.313148	0.009169	0.000000	1549.431029	-14.861735	-56.389382	104515.131325	0.671192	0.301601
   1546.901939	193801.850303	-17.558818	1624.689235	2702.960305	39.341586	232.821301	0.022044	-0.004175	0.062140	0.114506	0.061660	0.119633	0.879779	-0.527051	-2.780240	2.104512	0.010697	0.000000	1549.665138	-14.549024	-53.890610	96844.712541	0.680831	0.290644
   1546.904489	193801.530785	-17.952070	1631.582738	5661.042129	35.338942	31.275476	-0.055765	-0.003327	0.063672	0.108009	0.061092	0.112238	0.970349	-0.460387	-2.693923	2.159501	0.012225	0.000000	1549.453794	-14.943040	-50.281982	102965.768902	0.689012	0.285454
   1546.907040	193801.211268	-17.485164	1646.020442	-5851.904218	35.715242	205.973736	-0.162559	-0.005245	0.063215	0.114561	0.062398	0.121134	0.723124	-0.704301	-2.969877	1.924638	0.013754	0.000000	1549.077358	-14.476028	-50.191270	154461.966758	0.696701	0.292002
