x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.93660E-06,+303.05449471E-03,-12.61915779E-03,+310.19552245E-03,-83.53187725E-03
-9.92660E-06,+303.05449471E-03,-12.57267538E-03,+310.19552245E-03,-83.65028177E-03
-9.91660E-06,+303.05449471E-03,-12.41036382E-03,+310.19552245E-03,-83.51271895E-03
-9.90660E-06,+303.05449471E-03,-12.84729849E-03,+310.19552245E-03,-83.61102297E-03
-9.89660E-06,+303.05449471E-03,-13.02744925E-03,+310.19552245E-03,-83.50800790E-03
-9.88660E-06,+303.05449471E-03,-13.01651960E-03,+310.19552245E-03,-83.66096016E-03
-9.87660E-06,+303.05449471E-03,-13.45043919E-03,+310.19552245E-03,-83.55574659E-03
-9.86660E-06,+303.05449471E-03,-13.21538894E-03,+310.19552245E-03,-83.60976669E-03
-9.85660E-06,+303.05449471E-03,-13.56639396E-03,+310.19552245E-03,-83.49356066E-03
-9.84660E-06,+303.05449471E-03,-13.78033868E-03,+310.19552245E-03,-83.62232951E-03
-9.83660E-06,+303.05449471E-03,-13.65420803E-03,+310.19552245E-03,-83.53533202E-03
-9.82660E-06,+303.05449471E-03,-14.12782612E-03,+310.19552245E-03,-83.64243001E-03
-9.81660E-06,+303.05449471E-03,-13.81953466E-03,+310.19552245E-03,-83.56234207E-03
-9.80660E-06,+303.05449471E-03,-13.99516280E-03,+310.19552245E-03,-83.60191493E-03
-9.79660E-06,+303.05449471E-03,-14.16978592E-03,+310.19552245E-03,-83.51052046E-03
-9.78660E-06,+303.05449471E-03,-14.61702209E-03,+310.19552245E-03,-83.63080941E-03
-9.77660E-06,+303.05449471E-03,-14.60584119E-03,+310.19552245E-03,-83.56234207E-03
-9.76660E-06,+303.05449471E-03,-14.63259998E-03,+310.19552245E-03,-83.64808327E-03
-9.75660E-06,+303.05449471E-03,-14.80018792E-03,+310.19552245E-03,-83.55700287E-03
-9.74660E-06,+303.05449471E-03,-15.50081605E-03,+310.19552245E-03,-83.61918880E-03
-9.73660E-06,+303.05449471E-03,-15.16727334E-03,+310.19552245E-03,-83.54695262E-03
-9.72660E-06,+303.05449471E-03,-15.58222309E-03,+310.19552245E-03,-83.63897523E-03
-9.71660E-06,+303.05449471E-03,-15.83272560E-03,+310.19552245E-03,-83.50832197E-03
-9.70660E-06,+303.05449471E-03,-16.11074067E-03,+310.19552245E-03,-83.60065865E-03
-9.69660E-06,+303.05449471E-03,-15.99277585E-03,+310.19552245E-03,-83.49921393E-03
-9.68660E-06,+303.05449471E-03,-16.00219796E-03,+310.19552245E-03,-83.65562096E-03
-9.67660E-06,+303.05449471E-03,-16.12732358E-03,+310.19552245E-03,-83.55449031E-03
-9.66660E-06,+303.05449471E-03,-16.51940901E-03,+310.19552245E-03,-83.65938981E-03
-9.65660E-06,+303.05449471E-03,-16.32305223E-03,+310.19552245E-03,-83.56359835E-03
