x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.93660E-06,+303.05449471E-03,-20.43737379E-03,+310.19552245E-03,-83.44802046E-03
-9.92660E-06,+303.05449471E-03,-20.58347932E-03,+310.19552245E-03,-83.51240488E-03
-9.91660E-06,+303.05449471E-03,-20.86036373E-03,+310.19552245E-03,-83.46686468E-03
-9.90660E-06,+303.05606506E-03,-21.21513760E-03,+310.19552245E-03,-83.49952800E-03
-9.89660E-06,+303.05606506E-03,-20.98888132E-03,+310.19552245E-03,-83.34877423E-03
-9.88660E-06,+303.05606506E-03,-21.83046423E-03,+310.19552245E-03,-83.51994257E-03
-9.87660E-06,+303.05606506E-03,-21.53737378E-03,+310.19552245E-03,-83.47377423E-03
-9.86660E-06,+303.05606506E-03,-22.00006221E-03,+310.19552245E-03,-83.52905061E-03
-9.85660E-06,+303.05606506E-03,-22.07305216E-03,+310.19552245E-03,-83.42760589E-03
-9.84660E-06,+303.05606506E-03,-22.39252452E-03,+310.19552245E-03,-83.54381192E-03
-9.83660E-06,+303.05606506E-03,-22.38385618E-03,+310.19552245E-03,-83.39525664E-03
-9.82660E-06,+303.05606506E-03,-23.03674562E-03,+310.19552245E-03,-83.53250539E-03
-9.81660E-06,+303.05606506E-03,-23.12267527E-03,+310.19552245E-03,-83.43231695E-03
-9.80660E-06,+303.05606506E-03,-23.81777576E-03,+310.19552245E-03,-83.50675162E-03
-9.79660E-06,+303.05606506E-03,-24.20332852E-03,+310.19552245E-03,-83.37923906E-03
-9.78660E-06,+303.05606506E-03,-24.58536369E-03,+310.19552245E-03,-83.54192750E-03
-9.77660E-06,+303.05606506E-03,-24.42405716E-03,+310.19552245E-03,-83.42446519E-03
-9.76660E-06,+303.05606506E-03,-25.09880590E-03,+310.19552245E-03,-83.52245514E-03
-9.75660E-06,+303.05606506E-03,-24.87581595E-03,+310.19552245E-03,-83.44016870E-03
-9.74660E-06,+303.05449471E-03,-25.40182097E-03,+310.19552245E-03,-83.53281946E-03
-9.73660E-06,+303.05449471E-03,-25.55458479E-03,+310.19552245E-03,-83.43922649E-03
-9.72660E-06,+303.05562537E-03,-25.77644408E-03,+310.19552245E-03,-83.52119885E-03
-9.71660E-06,+303.05606506E-03,-26.24528830E-03,+310.19552245E-03,-83.40499283E-03
-9.70660E-06,+303.05606506E-03,-25.72619283E-03,+310.19552245E-03,-83.55951544E-03
-9.69660E-06,+303.05449471E-03,-26.44064006E-03,+310.19552245E-03,-83.38709082E-03
-9.68660E-06,+303.05449471E-03,-26.26463503E-03,+310.19552245E-03,-83.53093504E-03
-9.67660E-06,+303.05606506E-03,-26.75546417E-03,+310.19552245E-03,-83.44456569E-03
-9.66660E-06,+303.05606506E-03,-27.01664508E-03,+310.19552245E-03,-83.52905061E-03
-9.65660E-06,+303.05449471E-03,-27.33649432E-03,+310.19552245E-03,-83.45241745E-03
-9.64660E-06,+303.05449471E-03,-27.44742397E-03,+310.19552245E-03,-83.53941493E-03
-9.63660E-06,+303.05606506E-03,-27.85873049E-03,+310.19552245E-03,-83.45367373E-03
-9.62660E-06,+303.05606506E-03,-28.39729833E-03,+310.19552245E-03,-83.52559584E-03
-9.61660E-06,+303.05606506E-03,-27.62016266E-03,+310.19552245E-03,-83.45901293E-03
